method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
NC;41842;0.0234224441202897;1;104790;72557
SBD;41843;0.20450213598588157;0;86012;56783
P-ES;41844;0.09283059171590743;0;85942;57828
P-MRO;41845;0.020558901557312555;0;95158;63581
QACM;41846;0.09605249570884765;0;94594;64331
NC;41942;0.02761396611255725;0;82074;55646
SBD;41943;0.17985231576853053;0;90822;61249
P-ES;41944;0.09236255500150681;2;90242;60101
P-MRO;41945;0.02236262219136725;0;84957;56346
QACM;41946;0.09868705340562826;0;100115;67994
NC;42042;0.02508522505144147;2;94644;63249
SBD;42043;0.2064149698968582;0;92478;61656
P-ES;42044;0.09440666443387304;0;88233;58140
P-MRO;42045;0.023204233054286;0;92342;64407
QACM;42046;0.09224946611643385;0;92510;60557
NC;42142;0.02680058245855134;0;84358;56031
SBD;42143;0.2011580673827364;0;91202;60063
P-ES;42144;0.0947430218783399;2;88410;56841
P-MRO;42145;0.020678986694042684;0;99173;66226
QACM;42146;0.09093184428298477;0;95844;62793
NC;42342;0.025335380643121592;0;98847;67142
SBD;42343;0.18857953114273576;0;89498;58670
P-ES;42344;0.08965811144494464;0;98197;65529
P-MRO;42345;0.02229904027071539;0;91843;60559
QACM;42346;0.08118779109682837;1;94787;62607
NC;42442;0.02695980091517547;0;92875;60807
SBD;42443;0.19058632351921606;0;87874;57208
P-ES;42444;0.10717975014568995;1;83972;54849
P-MRO;42445;0.023147635148793994;0;94776;64252
QACM;42446;0.09932419334653389;0;98324;66558
NC;42242;0.026302347528194995;0;93037;61832
SBD;42243;0.19915653481314255;0;84837;56961
P-ES;42244;0.09963071260778543;2;102491;65806
P-MRO;42245;0.023029150092154154;0;96844;63789
QACM;42246;0.09781591711743613;0;98838;67332
NC;42542;0.02591793787317532;0;88418;58077
SBD;42543;0.2156098270642046;0;95387;60500
P-ES;42544;0.09863034002095926;1;89671;59116
P-MRO;42545;0.019960968116590948;0;86306;57328
QACM;42546;0.09156099553992414;0;88239;59689
NC;42642;0.02363638863375854;0;98052;61904
SBD;42643;0.22285825577696072;0;91987;60448
P-ES;42644;0.09671060761584901;2;95075;62267
P-MRO;42645;0.02092982387244947;0;102007;67695
QACM;42646;0.099621686715147;0;98247;62759
NC;42942;0.026404939222155106;0;96148;63344
SBD;42943;0.22167739818634014;0;86578;58324
P-ES;42944;0.09928553447633016;2;98826;64957
P-MRO;42945;0.02111419202873861;0;94589;61879
QACM;42946;0.09732837782154966;1;82770;53353
NC;42742;0.025579982661627206;0;89509;59645
SBD;42743;0.2190157754175711;0;101560;65425
P-ES;42744;0.09265814315707803;1;92882;60837
P-MRO;42745;0.021197989147906677;0;92094;59600
QACM;42746;0.09640528113394954;0;91648;59435
NC;42842;0.02872004067311356;0;97083;64449
SBD;42843;0.2002550295830243;0;93703;62452
P-ES;42844;0.09146787557465536;1;95382;63606
P-MRO;42845;0.02052498473730211;0;94497;61457
QACM;42846;0.09307223914658261;0;88126;56397
NC;43242;0.028990580323694327;1;85182;57406
SBD;43243;0.19624345069801014;0;84267;57082
P-ES;43244;0.09125789640590042;0;93105;62002
P-MRO;43245;0.023866106986304352;0;82738;54746
QACM;43246;0.10264774328624851;1;100876;65403
NC;43142;0.027602072533631054;0;109502;73605
SBD;43143;0.2045052595532101;0;82015;55655
P-ES;43144;0.10525712126094022;0;91307;60223
P-MRO;43145;0.024423914911963385;0;90882;58993
QACM;43146;0.09122797623023998;0;97336;62539
NC;43042;0.026830144143040364;0;89497;61119
SBD;43043;0.2319503113478568;0;89041;59325
P-ES;43044;0.09832619785968642;1;99252;64785
P-MRO;43045;0.02005929133922013;0;97157;65898
QACM;43046;0.09884488783565655;0;88550;60564
NC;43342;0.02570494756557513;0;100784;67706
SBD;43343;0.20287667345336274;0;92314;61280
P-ES;43344;0.09846420486150556;0;98254;62913
P-MRO;43345;0.021825621956854075;0;97049;64534
QACM;43346;0.08954657125236493;0;85200;55241
NC;43442;0.027549298937237676;0;97235;66641
SBD;43443;0.20418848274460377;0;95047;62378
P-ES;43444;0.10509281993140834;1;97168;63325
P-MRO;43445;0.0201964165312888;0;94523;62867
QACM;43446;0.09454813090353374;1;93976;65222
NC;43542;0.02748016285046713;1;85836;58148
SBD;43543;0.1946524352418737;0;91120;62376
P-ES;43544;0.09195577334670457;0;97890;65312
