time,current bs,availability,cio,hyst,ttt
235.0,6,1.0,0.0,1.0,0.08
236.0,6,1.0,0.0,1.0,0.08
237.0,6,1.0,0.0,1.0,0.08
238.0,6,1.0,0.0,1.0,0.08
239.0,6,1.0,0.0,1.0,0.08
240.0,6,1.0,0.0,1.0,0.08
241.0,6,1.0,0.0,1.0,0.08
242.0,6,1.0,0.0,1.0,0.08
243.0,6,1.0,0.0,1.0,0.08
244.0,6,1.0,0.0,1.0,0.08
245.0,6,1.0,0.0,1.0,0.08
246.0,6,1.0,0.0,1.0,0.08
247.0,6,0.7928,0.0,1.0,0.08
248.0,6,0.7928,0.0,1.0,0.08
249.0,6,0.7928,0.0,1.0,0.08
250.0,6,0.7928,0.0,1.0,0.08
251.0,6,0.7928,0.0,1.0,0.08
252.0,6,0.7928,0.0,1.0,0.08
253.0,6,0.7928,0.0,1.0,0.08
254.0,6,0.7928,0.0,1.0,0.08
255.0,6,0.7928,0.0,1.0,0.08
256.0,6,0.7928,0.0,1.0,0.08
257.0,6,0.7928,0.0,1.0,0.08
258.0,6,0.7928,0.0,1.0,0.08
259.0,6,0.7928,0.0,1.0,0.08
260.0,6,0.7928,0.0,1.0,0.08
261.0,6,0.7928,0.0,1.0,0.08
262.0,6,0.7928,0.0,1.0,0.08
263.0,6,0.7928,0.0,1.0,0.08
264.0,6,0.7928,0.0,1.0,0.08
265.0,6,0.7928,0.0,1.0,0.08
266.0,6,0.7928,0.0,1.0,0.08
267.0,6,0.7928,0.0,1.0,0.08
268.0,6,0.7928,0.0,1.0,0.08
269.0,6,0.7928,0.0,1.0,0.08
270.0,6,0.7928,0.0,1.0,0.08
271.0,6,0.7928,0.0,1.0,0.08
272.0,6,0.7928,0.0,1.0,0.08
273.0,6,0.7928,0.0,1.0,0.08
274.0,6,0.7928,0.0,1.0,0.08
275.0,6,0.7928,0.0,1.0,0.08
276.0,6,0.7928,0.0,1.0,0.08
277.0,6,1.0,0.0,1.0,0.08
278.0,6,1.0,0.0,1.0,0.08
279.0,6,1.0,0.0,1.0,0.08
280.0,6,1.0,0.0,1.0,0.08
281.0,6,1.0,0.0,1.0,0.08
282.0,6,1.0,0.0,1.0,0.08
283.0,6,1.0,0.0,1.0,0.08
284.0,6,1.0,0.0,1.0,0.08
285.0,6,1.0,0.0,1.0,0.08
