time,satisfaction
203.0,0.0157894736842105
204.0,0.0157894736842105
205.0,0.0157894736842105
206.0,0.0184210526315789
207.0,0.0184210526315789
208.0,0.0184210526315789
209.0,0.0184210526315789
210.0,0.0210526315789474
211.0,0.0210526315789474
212.0,0.0184210526315789
213.0,0.0184210526315789
214.0,0.0210526315789474
215.0,0.0210526315789474
216.0,0.0210526315789474
217.0,0.0236842105263158
218.0,0.0236842105263158
219.0,0.0236842105263158
220.0,0.0236842105263158
221.0,0.0236842105263158
222.0,0.0236842105263158
223.0,0.0236842105263158
224.0,0.0210526315789474
225.0,0.0184210526315789
226.0,0.0184210526315789
227.0,0.0184210526315789
228.0,0.0184210526315789
229.0,0.0157894736842105
230.0,0.0210526315789474
231.0,0.0184210526315789
232.0,0.0236842105263158
233.0,0.0210526315789474
234.0,0.0210526315789474
235.0,0.0210526315789474
236.0,0.0210526315789474
237.0,0.0210526315789474
238.0,0.0210526315789474
239.0,0.0210526315789474
240.0,0.0184210526315789
241.0,0.0157894736842105
242.0,0.0131578947368421
243.0,0.0131578947368421
244.0,0.0131578947368421
245.0,0.0131578947368421
246.0,0.0131578947368421
247.0,0.0131578947368421
248.0,0.0131578947368421
249.0,0.0131578947368421
250.0,0.0131578947368421
251.0,0.0131578947368421
252.0,0.0131578947368421
253.0,0.0131578947368421
254.0,0.0131578947368421
255.0,0.0157894736842105
256.0,0.0210526315789474
257.0,0.0236842105263158
258.0,0.0236842105263158
259.0,0.0210526315789474
260.0,0.0210526315789474
261.0,0.0210526315789474
262.0,0.0210526315789474
263.0,0.0184210526315789
264.0,0.0210526315789474
265.0,0.0210526315789474
266.0,0.0210526315789474
267.0,0.0236842105263158
268.0,0.0236842105263158
269.0,0.0236842105263158
270.0,0.0236842105263158
271.0,0.0236842105263158
272.0,0.0263157894736842
273.0,0.0289473684210526
274.0,0.0315789473684211
275.0,0.0263157894736842
276.0,0.0263157894736842
277.0,0.0263157894736842
278.0,0.0263157894736842
279.0,0.0263157894736842
280.0,0.0263157894736842
281.0,0.0236842105263158
282.0,0.0263157894736842
283.0,0.0289473684210526
284.0,0.0289473684210526
285.0,0.0289473684210526
286.0,0.0263157894736842
287.0,0.0289473684210526
288.0,0.0289473684210526
289.0,0.0289473684210526
290.0,0.0289473684210526
291.0,0.0263157894736842
292.0,0.0263157894736842
293.0,0.0289473684210526
294.0,0.0315789473684211
295.0,0.0289473684210526
296.0,0.0263157894736842
297.0,0.0289473684210526
298.0,0.0289473684210526
299.0,0.0289473684210526
300.0,0.0289473684210526
301.0,0.0263157894736842
302.0,0.0236842105263158
303.0,0.0210526315789474
304.0,0.0210526315789474
